site,site.code,bommie ID,quadrant,location,treatment,date deployed,pre-treatment weight,post-treatment weight,proportion from control,correction,corrected pre-treatment weight,difference final,rate dissolution
East,1,E6,1,sediment,upstream,"May 5, 2022",36.377,28.85,0.03703119082,1.347083629,35.02991637,6.179916371,0.2574965155
East,1,E6,1,bommie,upstream,"May 5, 2022",34.512,23.485,0.03703119082,1.278020458,33.23397954,9.748979542,0.4062074809
East,1,E6,2,sediment,downstream,"May 5, 2022",32.344,29.225,0.03703119082,1.197736836,31.14626316,1.921263164,0.08005263183
East,1,E6,2,bommie,downstream,"May 5, 2022",32.112,25.838,0.03703119082,1.1891456,30.9228544,5.0848544,0.2118689333
East,1,E6,3,sediment,left,"May 5, 2022",33.132,26.118,0.03703119082,1.226917414,31.90508259,5.787082586,0.2411284411
East,1,E6,3,bommie,left,"May 5, 2022",37.908,28.199,0.03703119082,1.403778382,36.50422162,8.305221618,0.3460509008
East,1,E6,4,sediment,right,"May 5, 2022",31.187,23.1,0.03703119082,1.154891748,30.03210825,6.932108252,0.2888378438
East,1,E6,4,bommie,right,"May 5, 2022",29.656,21.356,0.03703119082,1.098196995,28.557803,7.201803005,0.3000751252
East,1,E7,2,sediment,downstream,"May 5, 2022",30.418,25.739,0.03703119082,1.126414762,29.29158524,3.552585238,0.1480243849
East,1,E7,3,sediment,left,"May 5, 2022",27.935,23.086,0.03703119082,1.034466316,26.90053368,3.814533684,0.1589389035
East,1,E7,3,bommie,left,"May 5, 2022",32.179,24.712,0.03703119082,1.19162669,30.98737331,6.27537331,0.2614738879
East,1,E8,1,sediment,upstream,"May 5, 2022",28.365,22.872,0.03703119082,1.050389728,27.31461027,4.442610272,0.1851087613
East,1,E8,1,bommie,upstream,"May 5, 2022",29.361,21.195,0.03703119082,1.087272794,28.27372721,7.078727206,0.2949469669
East,1,E8,2,sediment,downstream,"May 5, 2022",29.622,23.378,0.03703119082,1.096937935,28.52506207,5.147062065,0.2144609194
East,1,E8,2,bommie,downstream,"May 5, 2022",30.028,20.814,0.03703119082,1.111972598,28.9160274,8.102027402,0.3375844751
East,1,E8,3,sediment,left,"May 5, 2022",30.534,23.526,0.03703119082,1.130710381,29.40328962,5.877289619,0.2448870675
East,1,E8,3,bommie,left,"May 5, 2022",31.342,22.103,0.03703119082,1.160631583,30.18136842,8.078368417,0.3365986841
East,1,E8,4,sediment,right,"May 5, 2022",27.629,19.417,0.03703119082,1.023134771,26.60586523,7.188865229,0.2995360512
East,1,E8,4,bommie,right,"May 5, 2022",28.858,20.203,0.03703119082,1.068646105,27.7893539,7.586353895,0.316098079
East,1,E9,1,sediment,upstream,"May 5, 2022",26.066,20.034,0.03703119082,0.96525502,25.10074498,5.06674498,0.2111143742
East,1,E9,1,bommie,upstream,"May 5, 2022",28.637,18.068,0.03703119082,1.060462212,27.57653779,9.508537788,0.3961890745
East,1,E9,2,sediment,downstream,"May 5, 2022",29.021,22.941,0.03703119082,1.074682189,27.94631781,5.005317811,0.2085549088
East,1,E9,2,bommie,downstream,"May 5, 2022",28.996,23.022,0.03703119082,1.073756409,27.92224359,4.900243591,0.2041768163
East,1,E9,3,sediment,left,"May 5, 2022",28.057,20.299,0.03703119082,1.038984121,27.01801588,6.719015879,0.279958995
East,1,E9,3,bommie,left,"May 5, 2022",32.127,24.195,0.03703119082,1.189701068,30.93729893,6.742298932,0.2809291222
East,1,E9,4,sediment,right,"May 5, 2022",26.824,18.045,0.03703119082,0.9933246626,25.83067534,7.785675337,0.3244031391
East,1,E9,4,bommie,right,"May 5, 2022",27.331,15.75,0.03703119082,1.012099476,26.31890052,10.56890052,0.4403708552
East,1,E10,1,sediment,upstream,"May 5, 2022",29.812,24.725,0.03703119082,1.103973861,28.70802614,3.983026139,0.1659594225
East,1,E10,1,bommie,upstream,"May 5, 2022",30.229,22.692,0.03703119082,1.119415867,29.10958413,6.417584133,0.2673993389
East,1,E10,2,sediment,downstream,"May 5, 2022",30.585,25.581,0.03703119082,1.132598971,29.45240103,3.871401029,0.1613083762
East,1,E10,2,bommie,downstream,"May 5, 2022",34.027,24.795,0.03703119082,1.26006033,32.76693967,7.97193967,0.3321641529
East,1,E10,3,sediment,left,"May 5, 2022",29.648,22.757,0.03703119082,1.097900746,28.55009925,5.793099254,0.2413791356
East,1,E10,3,bommie,left,"May 5, 2022",30.46,21.916,0.03703119082,1.127970072,29.33202993,7.416029928,0.309001247
East,1,E10,4,sediment,right,"May 5, 2022",30.199,23.446,0.03703119082,1.118304932,29.08069507,5.634695068,0.2347789612
East,1,E10,4,bommie,right,"May 5, 2022",29.305,22.659,0.03703119082,1.085199047,28.21980095,5.560800953,0.2317000397
