site,date,bommie.ID,quadrant,location,pre-treatment,post-treatment,change in BW (g),abs_change_DW,SA,GR (g/day),GR (mg/day)
West,"May 8, 2022",W1,1,sediment,10.144,12.354,2.210,3.395,30.187468,0.005623194367,5.623194367
West,"May 8, 2022",W1,1,bommie,11.744,14.722,2.978,4.575,33.210316,0.006887920007,6.887920007
West,"May 8, 2022",W1,2,sediment,11.973,15.274,3.301,5.071,34.123468,0.007430370207,7.430370207
West,"May 8, 2022",W1,2,bommie,13.724,17.795,4.071,6.254,43.370444,0.00720997922,7.20997922
West,"May 8, 2022",W1,3,sediment,9.165,11.434,2.269,3.485,25.128396,0.006934386102,6.934386102
West,"May 8, 2022",W1,3,bommie,8.945,10.962,2.017,3.098,30.239948,0.005122363306,5.122363306
West,"May 8, 2022",W1,4,sediment,14.254,19.01,4.756,7.306,43.874252,0.008326067872,8.326067872
West,"May 8, 2022",W1,4,bommie,10.695,13.346,2.651,4.072,23.365068,0.008713862934,8.713862934
West,"May 8, 2022",W2,1,sediment,20.822,22.719,1.897,2.914,48.985804,0.002974331094,2.974331094
West,"May 8, 2022",W2,1,bommie,16.593,18.535,1.942,2.983,44.252108,0.003370460906,3.370460906
West,"May 8, 2022",W2,2,sediment,12.345,13.061,0.716,1.1,25.075916,0.002193339617,2.193339617
West,"May 8, 2022",W2,2,bommie,11.364,10.895,-0.469,-0.72,32.066252,-0.00112267564,-1.12267564
West,"May 8, 2022",W2,3,sediment,10.517,10.476,-0.041,-0.063,26.650316,-0.0001181974728,-0.1181974728
West,"May 8, 2022",W2,3,bommie,10.844,10.756,-0.088,-0.135,27.143628,-0.0002486771481,-0.2486771481
West,"May 8, 2022",W2,4,sediment,11.538,12.318,0.78,1.198,26.345932,0.002273595787,2.273595787
West,"May 8, 2022",W2,4,bommie,10.558,10.151,-0.407,-0.625,27.311564,-0.001144203972,-1.144203972
West,"May 10, 2022",W3,1,sediment,14.383,14.212,-0.171,-0.263,35.477452,-0.0003706579604,-0.3706579604
West,"May 10, 2022",W3,1,bommie,10.966,11.31,0.344,0.528,27.878348,0.0009469714633,0.9469714633
West,"May 10, 2022",W3,2,sediment,15.14,12.559,-2.581,-3.965,33.493708,-0.005919022164,-5.919022164
West,"May 10, 2022",W3,2,bommie,13.885,12.233,-1.652,-2.538,34.795212,-0.003647053508,-3.647053508
West,"May 10, 2022",W3,3,sediment,16.674,16.297,-0.377,-0.579,39.256012,-0.0007374666586,-0.7374666586
West,"May 10, 2022",W3,3,bommie,13.104,13.038,-0.066,-0.101,37.009868,-0.0001364500949,-0.1364500949
West,"May 10, 2022",W3,4,sediment,12.471,12.504,0.033,0.051,28.046284,0.00009092113593,0.09092113593
West,"May 10, 2022",W3,4,bommie,9.205,8.229,-0.976,-1.499,22.472908,-0.0033351269,-3.3351269
West,"May 10, 2022",W4,1,sediment,9.061,8.945,-0.116,-0.178,20.34222,-0.000437513703,-0.437513703
West,"May 10, 2022",W4,1,bommie,11.065,9.85,-1.215,-1.866,23.480524,-0.003973505872,-3.973505872
West,"May 10, 2022",W4,2,sediment,10.742,10.12,-0.622,-0.955,27.32206,-0.001747672028,-1.747672028
West,"May 10, 2022",W4,2,bommie,17.418,14.482,-2.936,-4.51,36.012748,-0.006261671561,-6.261671561
West,"May 10, 2022",W4,3,sediment,7.84,7.823,-0.017,-0.026,21.23438,-0.00006122147197,-0.06122147197
West,"May 10, 2022",W4,3,bommie,12.658,11.622,-1.036,-1.591,24.477644,-0.00324990428,-3.24990428
West,"May 10, 2022",W4,4,sediment,12.726,12.707,-0.019,-0.029,24.12078,-0.00006011414225,-0.06011414225
West,"May 10, 2022",W4,4,bommie,11.767,11.396,-0.371,-0.57,24.666572,-0.00115540984,-1.15540984
MRB,"May 8, 2022",M1,1,sediment,8.92,11.374,2.454,3.77,30.302924,0.006220521822,6.220521822
MRB,"May 8, 2022",M1,1,bommie,8.575,11.402,2.827,4.343,29.883084,0.007266652933,7.266652933
MRB,"May 8, 2022",M1,2,sediment,11.383,15.642,4.259,6.542,29.809612,0.01097297073,10.97297073
MRB,"May 8, 2022",M1,2,bommie,15.188,19.316,4.128,6.341,43.947724,0.007214253007,7.214253007
MRB,"May 8, 2022",M1,3,sediment,15.305,19.809,4.504,6.919,49.752012,0.00695348763,6.95348763
MRB,"May 8, 2022",M1,3,bommie,8.066,11.148,3.082,4.734,24.729548,0.009571545748,9.571545748
MRB,"May 8, 2022",M1,4,sediment,8.869,NA,NA,NA,NA,#VALUE!,#VALUE!
MRB,"May 8, 2022",M1,4,bommie,10.814,14.074,3.26,5.008,29.200844,0.00857509461,8.57509461
MRB,"May 10, 2022",M2,1,sediment,14.103,14.046,-0.057,-0.088,26.566348,-0.0001656230657,-0.1656230657
MRB,"May 10, 2022",M2,1,bommie,11.801,12.937,1.136,1.745,37.356236,0.002335620752,2.335620752
MRB,"May 10, 2022",M2,2,sediment,11.624,NA,NA,NA,NA,#VALUE!,#VALUE!
MRB,"May 10, 2022",M2,2,bommie,15.2,14.685,-0.515,-0.791,25.159884,-0.001571946834,-1.571946834
MRB,"May 10, 2022",M2,3,sediment,16.744,16.738,-0.006,-0.009,48.05166,-0.000009364921004,-0.009364921004
MRB,"May 10, 2022",M2,3,bommie,10.185,10.67,0.485,0.745,22.934732,0.0016241742,1.6241742
MRB,"May 10, 2022",M2,4,sediment,18.054,18.151,0.097,0.149,39.067084,0.0001906976216,0.1906976216
MRB,"May 10, 2022",M2,4,bommie,16.833,16.938,0.105,0.161,40.23214,0.0002000887847,0.2000887847
MRB,"May 10, 2022",M3,1,sediment,13.834,14.535,0.701,1.077,50.224332,0.001072189472,1.072189472
MRB,"May 10, 2022",M3,1,bommie,17.172,18.361,1.189,1.826,53.1947,0.001716336402,1.716336402
MRB,"May 10, 2022",M3,2,sediment,16.187,16.651,0.464,0.713,34.40686,0.001036130586,1.036130586
MRB,"May 10, 2022",M3,2,bommie,11.423,12.232,0.809,1.243,34.637772,0.001794283997,1.794283997
MRB,"May 10, 2022",M3,3,sediment,14.784,14.413,-0.371,-0.57,32.93742,-0.0008652772439,-0.8652772439
MRB,"May 10, 2022",M3,3,bommie,9.544,9.666,0.122,0.187,22.241996,0.0004203759411,0.4203759411
MRB,"May 10, 2022",M3,4,sediment,11.666,NA,NA,NA,NA,#VALUE!,#VALUE!
MRB,"May 10, 2022",M3,4,bommie,13.86,13.54,-0.32,-0.492,34.480332,-0.0007134502069,-0.7134502069
MRB,"May 10, 2022",M4,1,sediment,19.904,15.443,-4.461,-6.853,38.101452,-0.008993095591,-8.993095591
MRB,"May 10, 2022",M4,1,bommie,15.402,16.525,1.123,1.725,30.397388,0.002837414846,2.837414846
MRB,"May 10, 2022",M4,2,sediment,15.172,15.954,0.782,1.201,32.979404,0.00182083339,1.82083339
MRB,"May 10, 2022",M4,2,bommie,14.285,11.148,-3.137,-4.819,26.408908,-0.009123815343,-9.123815343
MRB,"May 10, 2022",M4,3,sediment,12.424,13.168,0.744,1.143,19.701964,0.002900726039,2.900726039
MRB,"May 10, 2022",M4,3,bommie,12.512,9.984,-2.528,-3.883,30.061516,-0.006458423454,-6.458423454
